año,genero,cantidad
1927-01-01,Biography,11
1927-01-01,Comedy,322
1927-01-01,Crime,43
1927-01-01,Documentary,76
1927-01-01,Drama,245
1927-01-01,Family,44
1927-01-01,Fantasy,25
1927-01-01,Game-Show,3
1927-01-01,History,18
1927-01-01,Horror,30
1927-01-01,Music,32
1927-01-01,Musical,37
1927-01-01,Mystery,28
1927-01-01,News,3
1927-01-01,Reality-TV,8
1927-01-01,Romance,123
1927-01-01,Sci-Fi,15
1927-01-01,Short,324
1927-01-01,Sport,17
1927-01-01,Talk-Show,2
1927-01-01,Thriller,37
1927-01-01,War,31
1927-01-01,Western,59
1928-01-01,Action,65
1928-01-01,Adult,32
1928-01-01,Adventure,45
1928-01-01,Animation,85
1928-01-01,Biography,12
1928-01-01,Comedy,269
1928-01-01,Crime,63
1928-01-01,Documentary,84
1928-01-01,Drama,279
1928-01-01,Family,58
1928-01-01,Fantasy,29
1928-01-01,Game-Show,4
1928-01-01,History,28
1928-01-01,Horror,28
1928-01-01,Music,45
1928-01-01,Musical,28
1928-01-01,Mystery,38
1928-01-01,News,6
1928-01-01,Reality-TV,6
1928-01-01,Romance,123
1928-01-01,Sci-Fi,22
1928-01-01,Short,285
1928-01-01,Sport,15
1928-01-01,Talk-Show,3
1928-01-01,Thriller,61
1928-01-01,War,30
1928-01-01,Western,32
1929-01-01,Action,64
1929-01-01,Adult,24
1929-01-01,Adventure,60
1929-01-01,Animation,94
1929-01-01,Biography,24
1929-01-01,Comedy,311
1929-01-01,Crime,77
1929-01-01,Documentary,76
1929-01-01,Drama,285
1929-01-01,Family,67
1929-01-01,Fantasy,30
1929-01-01,Game-Show,5
1929-01-01,History,19
1929-01-01,Horror,38
1929-01-01,Music,81
1929-01-01,Musical,88
1929-01-01,Mystery,45
1929-01-01,News,5
1929-01-01,Reality-TV,7
1929-01-01,Romance,158
1929-01-01,Sci-Fi,19
1929-01-01,Short,336
1929-01-01,Sport,21
1929-01-01,Talk-Show,3
1929-01-01,Thriller,64
1929-01-01,War,17
1929-01-01,Western,34
1930-01-01,Action,60
1930-01-01,Adult,34
1930-01-01,Adventure,54
1930-01-01,Animation,127
1930-01-01,Biography,10
